disease_code,disease_name,region,year,case_count,source
COVID_001,COVID-19,Barbados,2022,0,OWID
COVID_001,COVID-19,Barbados,2023,0,OWID
COVID_001,COVID-19,Barbados,2024,0,OWID
COVID_001,COVID-19,Belarus,2020,0,OWID
COVID_001,COVID-19,Belarus,2021,0,OWID
COVID_001,COVID-19,Belarus,2022,0,OWID
COVID_001,COVID-19,Belarus,2023,0,OWID
COVID_001,COVID-19,Belarus,2024,0,OWID
COVID_001,COVID-19,Belgium,2020,0,OWID
COVID_001,COVID-19,Belgium,2021,0,OWID
COVID_001,COVID-19,Belgium,2022,0,OWID
COVID_001,COVID-19,Belgium,2023,6375,OWID
COVID_001,COVID-19,Belgium,2024,0,OWID
COVID_001,COVID-19,Belize,2020,0,OWID
COVID_001,COVID-19,Belize,2021,0,OWID
COVID_001,COVID-19,Belize,2022,0,OWID
COVID_001,COVID-19,Belize,2023,271,OWID
COVID_001,COVID-19,Belize,2024,0,OWID
COVID_001,COVID-19,Benin,2020,0,OWID
COVID_001,COVID-19,Benin,2021,0,OWID
COVID_001,COVID-19,Benin,2022,0,OWID
COVID_001,COVID-19,Benin,2023,1,OWID
COVID_001,COVID-19,Benin,2024,0,OWID
COVID_001,COVID-19,Bermuda,2020,0,OWID
COVID_001,COVID-19,Bermuda,2021,0,OWID
COVID_001,COVID-19,Bermuda,2022,0,OWID
COVID_001,COVID-19,Bermuda,2023,65,OWID
COVID_001,COVID-19,Bermuda,2024,0,OWID
COVID_001,COVID-19,Bhutan,2020,0,OWID
COVID_001,COVID-19,Bhutan,2021,0,OWID
COVID_001,COVID-19,Bhutan,2022,0,OWID
COVID_001,COVID-19,Bhutan,2023,7,OWID
COVID_001,COVID-19,Bhutan,2024,0,OWID
COVID_001,COVID-19,Bolivia,2020,0,OWID
COVID_001,COVID-19,Bolivia,2021,0,OWID
COVID_001,COVID-19,Bolivia,2022,0,OWID
COVID_001,COVID-19,Bolivia,2023,14277,OWID
COVID_001,COVID-19,Bolivia,2024,0,OWID
COVID_001,COVID-19,Bonaire Sint Eustatius and Saba,2020,0,OWID
COVID_001,COVID-19,Bonaire Sint Eustatius and Saba,2021,0,OWID
COVID_001,COVID-19,Bonaire Sint Eustatius and Saba,2022,0,OWID
COVID_001,COVID-19,Bonaire Sint Eustatius and Saba,2023,0,OWID
COVID_001,COVID-19,Bonaire Sint Eustatius and Saba,2024,0,OWID
COVID_001,COVID-19,Bosnia and Herzegovina,2020,0,OWID
COVID_001,COVID-19,Bosnia and Herzegovina,2021,0,OWID
COVID_001,COVID-19,Bosnia and Herzegovina,2022,0,OWID
COVID_001,COVID-19,Bosnia and Herzegovina,2023,151,OWID
COVID_001,COVID-19,Bosnia and Herzegovina,2024,0,OWID
COVID_001,COVID-19,Botswana,2020,0,OWID
COVID_001,COVID-19,Botswana,2021,0,OWID
COVID_001,COVID-19,Botswana,2022,0,OWID
COVID_001,COVID-19,Botswana,2023,218,OWID
COVID_001,COVID-19,Botswana,2024,0,OWID
COVID_001,COVID-19,Brazil,2020,0,OWID
COVID_001,COVID-19,Brazil,2021,0,OWID
COVID_001,COVID-19,Brazil,2022,0,OWID
COVID_001,COVID-19,Brazil,2023,206944,OWID
COVID_001,COVID-19,Brazil,2024,0,OWID
COVID_001,COVID-19,British Virgin Islands,2020,0,OWID
COVID_001,COVID-19,British Virgin Islands,2021,0,OWID
COVID_001,COVID-19,British Virgin Islands,2022,0,OWID
COVID_001,COVID-19,British Virgin Islands,2023,0,OWID
COVID_001,COVID-19,British Virgin Islands,2024,0,OWID
COVID_001,COVID-19,Brunei,2020,0,OWID
COVID_001,COVID-19,Brunei,2021,0,OWID
COVID_001,COVID-19,Brunei,2022,0,OWID
COVID_001,COVID-19,Brunei,2023,1584,OWID
COVID_001,COVID-19,Brunei,2024,0,OWID
COVID_001,COVID-19,Bulgaria,2020,0,OWID
COVID_001,COVID-19,Bulgaria,2021,0,OWID
COVID_001,COVID-19,Bulgaria,2022,0,OWID
COVID_001,COVID-19,Bulgaria,2023,877,OWID
COVID_001,COVID-19,Bulgaria,2024,0,OWID
COVID_001,COVID-19,Burkina Faso,2020,0,OWID
COVID_001,COVID-19,Burkina Faso,2021,0,OWID
COVID_001,COVID-19,Burkina Faso,2022,0,OWID
COVID_001,COVID-19,Burkina Faso,2023,17,OWID
COVID_001,COVID-19,Burkina Faso,2024,0,OWID
COVID_001,COVID-19,Burundi,2020,0,OWID
COVID_001,COVID-19,Burundi,2021,0,OWID
COVID_001,COVID-19,Burundi,2022,0,OWID
COVID_001,COVID-19,Burundi,2023,111,OWID
COVID_001,COVID-19,Burundi,2024,0,OWID
COVID_001,COVID-19,Cambodia,2020,0,OWID
COVID_001,COVID-19,Cambodia,2021,0,OWID
COVID_001,COVID-19,Cambodia,2022,0,OWID
COVID_001,COVID-19,Cambodia,2023,89,OWID
COVID_001,COVID-19,Cambodia,2024,0,OWID
COVID_001,COVID-19,Cameroon,2020,0,OWID
COVID_001,COVID-19,Cameroon,2021,0,OWID
COVID_001,COVID-19,Cameroon,2022,0,OWID
COVID_001,COVID-19,Cameroon,2023,0,OWID
COVID_001,COVID-19,Cameroon,2024,0,OWID
COVID_001,COVID-19,Canada,2020,0,OWID
COVID_001,COVID-19,Canada,2021,0,OWID
COVID_001,COVID-19,Canada,2022,0,OWID
COVID_001,COVID-19,Canada,2023,16395,OWID
COVID_001,COVID-19,Canada,2024,0,OWID
COVID_001,COVID-19,Cape Verde,2020,0,OWID
COVID_001,COVID-19,Cape Verde,2021,0,OWID
COVID_001,COVID-19,Cape Verde,2022,0,OWID
COVID_001,COVID-19,Cape Verde,2023,10,OWID
