indicator_code,indicator_name,spatial_dim_type,spatial_dim,time_dim_type,time_dim,time_dim_value,dim1_type,dim1,dim2_type,dim2,dim3_type,dim3,data_source,value,numeric_value,low,high,comments,date_added,scraped_at
TB_notif_num,,COUNTRY,SVN,YEAR,2021,,TB_CASETYPE,TB_CASETYPE_TB_CASETYPE_BCPTB,,,,,,64,64.0,,,,,2026-06-15T20:42:33.810816
TB_notif_num,,COUNTRY,LAO,YEAR,2021,,TB_CASETYPE,TB_CASETYPE_TB_CASETYPE_EPTB,,,,,,387,387.0,,,,,2026-06-15T20:42:33.810835
TB_notif_num,,COUNTRY,TCD,YEAR,2021,,TB_CASETYPE,TB_CASETYPE_TB_CASETYPE_NEWREL,,,,,,13 643,13643.0,,,,,2026-06-15T20:42:33.810837
TB_notif_num,,COUNTRY,MDG,YEAR,2021,,TB_CASETYPE,TB_CASETYPE_TB_CASETYPE_NEWREL,,,,,,40 031,40031.0,,,,,2026-06-15T20:42:33.810859
TB_notif_num,,COUNTRY,OMN,YEAR,2021,,TB_CASETYPE,TB_CASETYPE_TB_CASETYPE_NEWREL,,,,,,233,233.0,,,,,2026-06-15T20:42:33.810861
TB_notif_num,,COUNTRY,LVA,YEAR,2021,,TB_CASETYPE,TB_CASETYPE_TB_CASETYPE_NEWREL,,,,,,255,255.0,,,,,2026-06-15T20:42:33.810936
TB_notif_num,,COUNTRY,NPL,YEAR,2021,,TB_CASETYPE,TB_CASETYPE_TB_CASETYPE_EPTB,,,,,,8375,8375.0,,,,,2026-06-15T20:42:33.810950
TB_notif_num,,COUNTRY,MWI,YEAR,2021,,TB_CASETYPE,TB_CASETYPE_TB_CASETYPE_ALL,,,,,,14 594,14594.0,,,,,2026-06-15T20:42:33.811018
TB_notif_num,,COUNTRY,TKM,YEAR,2021,,TB_CASETYPE,TB_CASETYPE_TB_CASETYPE_ALL,,,,,,2422,2422.0,,,,,2026-06-15T20:42:33.811039
TB_notif_num,,COUNTRY,SXM,YEAR,2021,,TB_CASETYPE,TB_CASETYPE_TB_CASETYPE_NEWREL,,,,,,1,1.0,,,,,2026-06-15T20:42:33.811041
TB_notif_num,,COUNTRY,ZAF,YEAR,2021,,TB_CASETYPE,TB_CASETYPE_TB_CASETYPE_EPTB,,,,,,19 539,19539.0,,,,,2026-06-15T20:42:33.811078
TB_notif_num,,COUNTRY,SYC,YEAR,2021,,TB_CASETYPE,TB_CASETYPE_TB_CASETYPE_EPTB,,,,,,1,1.0,,,,,2026-06-15T20:42:33.811103
TB_notif_num,,COUNTRY,ARE,YEAR,2021,,TB_CASETYPE,TB_CASETYPE_TB_CASETYPE_EPTB,,,,,,29,29.0,,,,,2026-06-15T20:42:33.811105
TB_notif_num,,COUNTRY,AUS,YEAR,2021,,TB_CASETYPE,TB_CASETYPE_TB_CASETYPE_ALL,,,,,,1468,1468.0,,,,,2026-06-15T20:42:33.811114
TB_notif_num,,COUNTRY,TUN,YEAR,2021,,TB_CASETYPE,TB_CASETYPE_TB_CASETYPE_NEWREL,,,,,,2637,2637.0,,,,,2026-06-15T20:42:33.811192
TB_notif_num,,COUNTRY,SEN,YEAR,2021,,TB_CASETYPE,TB_CASETYPE_TB_CASETYPE_ALL,,,,,,13 902,13902.0,,,,,2026-06-15T20:42:33.811222
TB_notif_num,,COUNTRY,ROU,YEAR,2021,,TB_CASETYPE,TB_CASETYPE_TB_CASETYPE_BCPTB,,,,,,5937,5937.0,,,,,2026-06-15T20:42:33.811226
TB_notif_num,,COUNTRY,BMU,YEAR,2021,,TB_CASETYPE,TB_CASETYPE_TB_CASETYPE_CDPTB,,,,,,0,0.0,,,,,2026-06-15T20:42:33.811238
TB_notif_num,,COUNTRY,CRI,YEAR,2021,,TB_CASETYPE,TB_CASETYPE_TB_CASETYPE_BCPTB,,,,,,298,298.0,,,,,2026-06-15T20:42:33.811250
TB_notif_num,,COUNTRY,CAF,YEAR,2021,,TB_CASETYPE,TB_CASETYPE_TB_CASETYPE_EPTB,,,,,,2606,2606.0,,,,,2026-06-15T20:42:33.811281
TB_notif_num,,COUNTRY,MDA,YEAR,2021,,TB_CASETYPE,TB_CASETYPE_TB_CASETYPE_NEWREL,,,,,,2067,2067.0,,,,,2026-06-15T20:42:33.811302
TB_notif_num,,COUNTRY,ZMB,YEAR,2021,,TB_CASETYPE,TB_CASETYPE_TB_CASETYPE_ALL,,,,,,50 825,50825.0,,,,,2026-06-15T20:42:33.811319
TB_notif_num,,COUNTRY,VCT,YEAR,2021,,TB_CASETYPE,TB_CASETYPE_TB_CASETYPE_NEWREL,,,,,,5,5.0,,,,,2026-06-15T20:42:33.811324
TB_notif_num,,COUNTRY,JOR,YEAR,2021,,TB_CASETYPE,TB_CASETYPE_TB_CASETYPE_BCPTB,,,,,,81,81.0,,,,,2026-06-15T20:42:33.811334
MALARIA_PF_INDIG,,COUNTRY,ERI,YEAR,2024,,,,,,,,,136 637,136637.0,,,,,2026-06-15T20:42:43.223937
MALARIA_PF_INDIG,,COUNTRY,PHL,YEAR,2021,,,,,,,,,3347,3347.0,,,,,2026-06-15T20:42:43.223940
MALARIA_PF_INDIG,,COUNTRY,RWA,YEAR,2024,,,,,,,,,215 775,215775.0,,,,,2026-06-15T20:42:43.223943
MALARIA_PF_INDIG,,COUNTRY,MYT,YEAR,2023,,,,,,,,,0,0.0,,,,,2026-06-15T20:42:43.223945
MALARIA_PF_INDIG,,COUNTRY,KEN,YEAR,2023,,,,,,,,,5 619 026,5619026.0,,,,,2026-06-15T20:42:43.223947
